date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:04	107196/107196	---M--	200	added ('OK')	application/octet-stream	etag:%22310c413decd31:0%22	https://www.bismigroup.com/Content/fonts/Quicksand-Regular.ttf	F:/bismi/bismi/www.bismigroup.com/Content/fonts/Quicksand-Regular.ttf	(from https://www.bismigroup.com/Content/css/main.css)
16:29:05	106468/106468	---M--	200	added ('OK')	application/octet-stream	etag:%22310c413decd31:0%22	https://www.bismigroup.com/Content/fonts/Quicksand-Medium.ttf	F:/bismi/bismi/www.bismigroup.com/Content/fonts/Quicksand-Medium.ttf	(from https://www.bismigroup.com/Content/css/main.css)
16:29:06	107584/107584	---M--	200	added ('OK')	application/octet-stream	etag:%229479c213decd31:0%22	https://www.bismigroup.com/Content/fonts/Quicksand-Bold.ttf	F:/bismi/bismi/www.bismigroup.com/Content/fonts/Quicksand-Bold.ttf	(from https://www.bismigroup.com/Content/css/main.css)
16:29:06	207/207	---M--	200	added ('OK')	image/png	etag:%225c6e3acf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/menu-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/menu-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:07	264/264	---M--	200	added ('OK')	image/png	etag:%22da1e28cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/close-black.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/close-black.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:07	314/314	---M--	200	added ('OK')	image/png	etag:%22bce738cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/list-icns.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/list-icns.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:08	2446/2446	---M--	200	added ('OK')	image/png	etag:%2247b5a0d06e30d41:0%22	https://www.bismigroup.com/Content/images/mnu-overlay.png	F:/bismi/bismi/www.bismigroup.com/Content/images/mnu-overlay.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:08	240/240	---M--	200	added ('OK')	image/png	etag:%221a2c2bcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/close-white.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/close-white.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:09	84488/84488	---M--	200	added ('OK')	image/jpeg	etag:%22c35a8ecf6e30d41:0%22	https://www.bismigroup.com/Content/images/banner-bg.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/banner-bg.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:09	108/108	---M--	200	added ('OK')	image/png	etag:%222ae8c9d06e30d41:0%22	https://www.bismigroup.com/Content/images/overlay-trans.png	F:/bismi/bismi/www.bismigroup.com/Content/images/overlay-trans.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:10	22526/22526	---M--	200	added ('OK')	image/jpeg	etag:%22a7c611d16e30d41:0%22	https://www.bismigroup.com/Content/images/welcome-img.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/welcome-img.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:11	12528/12528	---M--	200	added ('OK')	image/jpeg	etag:%22c84b3d06e30d41:0%22	https://www.bismigroup.com/Content/images/offer-bg.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/offer-bg.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:11	1686/1686	---M--	200	added ('OK')	image/png	etag:%22912b6d06e30d41:0%22	https://www.bismigroup.com/Content/images/offer-item-bg.png	F:/bismi/bismi/www.bismigroup.com/Content/images/offer-item-bg.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:12	167/167	---M--	200	added ('OK')	image/png	etag:%22bd1c45cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/right-arrow-blue.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/right-arrow-blue.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:12	242/242	---M--	200	added ('OK')	image/png	etag:%221b6137cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/left-arrow-white.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/left-arrow-white.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:13	240/240	---M--	200	added ('OK')	image/png	etag:%22fd2948cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/right-arrow-white.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/right-arrow-white.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:13	21994/21994	---M--	200	added ('OK')	image/jpeg	etag:%224dcaeecf6e30d41:0%22	https://www.bismigroup.com/Content/images/concern-bg.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/concern-bg.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:14	167/167	---M--	200	added ('OK')	image/png	etag:%225da346cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/right-arrow-green.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/right-arrow-green.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:14	233/233	---M--	200	added ('OK')	image/png	etag:%22fbbf2fcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/fb-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/fb-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:15	289/289	---M--	200	added ('OK')	image/png	etag:%223c23fcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/pint-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/pint-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:16	280/280	---M--	200	added ('OK')	image/png	etag:%221ecb4fcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/twit-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/twit-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:16	251/251	---M--	200	added ('OK')	image/png	etag:%22be5151cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/you-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/you-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:17	248/248	---M--	200	added ('OK')	image/png	etag:%229b4631cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/gplus-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/gplus-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:17	233/233	---M--	200	added ('OK')	image/png	etag:%225b392ecf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/fb-icn-hover.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/fb-icn-hover.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:18	319/319	---M--	200	added ('OK')	image/png	etag:%223c23fcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/pint-icn-hover.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/pint-icn-hover.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:18	297/297	---M--	200	added ('OK')	image/png	etag:%227e444ecf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/twit-icn-hover.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/twit-icn-hover.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:19	275/275	---M--	200	added ('OK')	image/png	etag:%221ecb4fcf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/you-icn-hover.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/you-icn-hover.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:19	267/267	---M--	200	added ('OK')	image/png	etag:%229b4631cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/gplus-icn-hover.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/gplus-icn-hover.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:20	2988/2988	---M--	200	added ('OK')	image/jpeg	etag:%22b3982d06e30d41:0%22	https://www.bismigroup.com/Content/images/hypermarket-bg-overlay.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/hypermarket-bg-overlay.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:21	22543/22543	---M--	200	added ('OK')	image/png	etag:%22138380d06e30d41:0%22	https://www.bismigroup.com/Content/images/hyperimg.png	F:/bismi/bismi/www.bismigroup.com/Content/images/hyperimg.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:21	53687/53687	---M--	200	added ('OK')	image/jpeg	etag:%22f41685d06e30d41:0%22	https://www.bismigroup.com/Content/images/hypermarket-sec2-bg.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/hypermarket-sec2-bg.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:22	593/593	---M--	200	added ('OK')	image/png	etag:%22ddbd4ccf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/speedcart-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/speedcart-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:22	27498/27498	---M--	200	added ('OK')	image/png	etag:%22badb27d06e30d41:0%22	https://www.bismigroup.com/Content/images/deal-sec1-bg.png	F:/bismi/bismi/www.bismigroup.com/Content/images/deal-sec1-bg.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:23	336/336	---M--	200	added ('OK')	image/png	etag:%229db049cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/round-gray-arrow-left.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/round-gray-arrow-left.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:23	346/346	---M--	200	added ('OK')	image/png	etag:%229db049cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/round-gray-arrow-right.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/round-gray-arrow-right.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:24	25102/25102	---M--	200	added ('OK')	image/png	etag:%22342488d06e30d41:0%22	https://www.bismigroup.com/Content/images/limited-offer-bg.png	F:/bismi/bismi/www.bismigroup.com/Content/images/limited-offer-bg.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:25	177/177	---M--	200	added ('OK')	image/png	etag:%22fa8a23cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/arrow-right-black-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/arrow-right-black-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:25	40485/40485	---M--	200	added ('OK')	image/jpeg	etag:%2299514d06e30d41:0%22	https://www.bismigroup.com/Content/images/connect-last-sec-bg.jpg	F:/bismi/bismi/www.bismigroup.com/Content/images/connect-last-sec-bg.jpg	(from https://www.bismigroup.com/Content/css/main.css)
16:29:26	670/670	---M--	200	added ('OK')	image/png	etag:%227cf42cf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/quotes-green-icn.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/quotes-green-icn.png	(from https://www.bismigroup.com/Content/css/main.css)
16:29:26	284/284	---M--	200	added ('OK')	image/png	etag:%225b392ecf6e30d41:0%22	https://www.bismigroup.com/Content/images/icns/date-sml-icn-.png	F:/bismi/bismi/www.bismigroup.com/Content/images/icns/date-sml-icn-.png	(from https://www.bismigroup.com/Content/css/main.css)
